loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,loan_status
1600,1600,1600.0, 36 months,10.59%,52.08,B,B2,Fully Paid
15000,15000,12729.70764, 36 months,6.91%,462.54,A,A5,Fully Paid
3000,3000,3000.0, 36 months,7.66%,93.54,A,A5,Fully Paid
5000,5000,4900.0, 36 months,6.92%,154.21,A,A3,Fully Paid
12000,12000,11850.15512, 36 months,17.74%,432.26,E,E5,Fully Paid
25000,25000,24477.13495, 36 months,10.99%,818.38,B,B4,Fully Paid
2500,2500,2500.0, 36 months,7.88%,78.21,A,A5,Fully Paid
20000,20000,19975.0, 36 months,10.99%,654.68,B,B3,Fully Paid
12000,12000,9992.273165, 36 months,15.37%,418.16,D,D5,Fully Paid
15000,15000,14975.0, 36 months,13.49%,508.96,C,C2,Fully Paid
12000,12000,12000.0, 60 months,17.49%,301.41,D,D5,Fully Paid
8000,8000,8000.0, 36 months,10.74%,260.93,B,B4,Fully Paid
3600,3600,3600.0, 36 months,13.49%,122.15,C,C1,Fully Paid
29800,29800,29775.0, 36 months,10.65%,970.69,B,B2,Fully Paid
20000,12950,12410.23379, 36 months,6.54%,397.15,A,A4,Fully Paid
3000,3000,3000.0, 36 months,5.42%,90.48,A,A1,Fully Paid
7200,7200,7200.0, 36 months,6.62%,221.07,A,A2,Fully Paid
8000,8000,8000.0, 36 months,11.99%,265.68,B,B5,Fully Paid
21000,21000,10039.62067, 36 months,10.83%,685.83,B,B3,Fully Paid
10000,10000,9880.86217, 36 months,13.47%,339.23,C,C4,Fully Paid
8400,8400,8400.0, 36 months,6.99%,259.33,A,A3,Fully Paid
19200,19200,19200.0, 36 months,7.66%,598.66,A,A5,Fully Paid
2000,2000,2000.0, 36 months,5.42%,60.32,A,A1,Fully Paid
35000,35000,34975.0, 60 months,18.64%,901.01,E,E1,Fully Paid
10500,10500,10450.0, 60 months,11.11%,228.88,B,B5,Fully Paid
1400,1400,1400.0, 36 months,14.26%,48.03,C,C5,Fully Paid
5500,5500,5450.0, 36 months,6.91%,169.6,A,A5,Fully Paid
6000,6000,5875.0, 60 months,10.38%,128.61,B,B1,Fully Paid
25000,25000,24975.0, 60 months,11.49%,549.69,B,B4,Fully Paid
12000,12000,12000.0, 36 months,10.99%,392.81,B,B3,Fully Paid
15000,15000,15000.0, 60 months,15.99%,364.7,D,D2,Fully Paid
14900,14900,14875.0, 60 months,19.69%,392.2,E,E5,Fully Paid
6000,6000,6000.0, 36 months,10.59%,195.27,B,B2,Fully Paid
4800,4800,4550.0, 36 months,10.37%,155.72,B,B3,Fully Paid
3200,3200,3200.0, 36 months,14.22%,109.71,C,C5,Fully Paid
5000,5000,5000.0, 36 months,16.49%,177.0,D,D3,Fully Paid
10000,6475,6425.0, 36 months,6.91%,199.67,A,A5,Fully Paid
15000,11750,11666.79446, 36 months,6.17%,358.37,A,A3,Fully Paid
14000,14000,14000.0, 36 months,7.88%,437.93,A,A5,Fully Paid
17000,17000,17000.0, 60 months,11.99%,378.07,B,B5,Fully Paid
10000,10000,10000.0, 36 months,8.49%,315.63,A,A5,Fully Paid
2500,2500,2500.0, 36 months,11.99%,83.03,B,B5,Fully Paid
4500,4500,4500.0, 36 months,5.79%,136.48,A,A2,Fully Paid
19000,19000,18925.0, 36 months,14.83%,657.07,D,D3,Fully Paid
2400,2400,2400.0, 60 months,7.51%,48.11,A,A4,Fully Paid
5500,5500,5500.0, 36 months,7.90%,172.1,A,A4,Fully Paid
2000,2000,2000.0, 36 months,6.62%,61.41,A,A2,Fully Paid
15000,15000,9175.0, 36 months,16.00%,527.36,E,E2,Fully Paid
1500,1500,1500.0, 36 months,11.86%,49.73,B,B5,Fully Paid
21000,21000,20825.0, 60 months,21.22%,570.73,G,G4,Fully Paid
1400,1400,1400.0, 36 months,14.83%,48.42,D,D3,Fully Paid
10000,10000,9975.0, 36 months,7.88%,312.82,A,A5,Fully Paid
16000,16000,15950.0, 60 months,11.11%,348.76,B,B5,Fully Paid
13600,13600,13576.99552, 36 months,7.88%,425.43,A,A5,Fully Paid
4500,4500,4500.0, 36 months,10.62%,146.52,B,B3,Fully Paid
9800,9800,9800.0, 60 months,18.64%,252.29,E,E1,Fully Paid
3000,3000,3000.0, 36 months,5.42%,90.48,A,A1,Fully Paid
5000,5000,5000.0, 36 months,11.58%,165.07,B,B3,Fully Paid
9200,9200,9200.0, 36 months,7.49%,286.14,A,A4,Fully Paid
11050,11050,11050.0, 36 months,10.37%,358.48,B,B3,Fully Paid
8600,8600,8600.0, 36 months,15.99%,302.31,D,D2,Fully Paid
12600,12600,12600.0, 60 months,16.77%,311.59,D,D2,Fully Paid
24100,24100,24075.0, 36 months,11.83%,798.53,B,B3,Fully Paid
35000,22600,22575.0, 60 months,19.03%,586.63,E,E2,Fully Paid
5000,5000,5000.0, 36 months,14.35%,171.74,C,C4,Fully Paid
9000,9000,9000.0, 36 months,7.51%,280.0,A,A3,Fully Paid
7500,7500,7500.0, 36 months,10.99%,245.51,B,B3,Fully Paid
3000,3000,0.0, 36 months,7.37%,93.14,A,A1,Fully Paid
8200,8200,8150.0, 36 months,17.04%,292.53,E,E3,Fully Paid
8775,8775,8775.0, 36 months,13.06%,295.92,C,C2,Fully Paid
12000,12000,11663.9993, 36 months,9.32%,383.37,A,A4,Fully Paid
3000,3000,3000.0, 60 months,13.72%,69.38,C,C5,Fully Paid
6500,6500,5800.0, 36 months,7.74%,202.93,A,A3,Fully Paid
5525,5525,5525.0, 36 months,11.11%,181.17,B,B5,Fully Paid
17000,17000,17000.0, 36 months,6.03%,517.41,A,A1,Fully Paid
18000,16025,15975.0, 36 months,7.51%,498.56,A,A4,Fully Paid
2000,2000,2000.0, 36 months,14.22%,68.57,C,C5,Fully Paid
3500,3500,3500.0, 36 months,16.49%,123.9,D,D3,Fully Paid
3500,3500,3500.0, 36 months,10.74%,114.16,B,B4,Fully Paid
32875,32875,32426.02466, 60 months,19.42%,860.42,E,E3,Fully Paid
12000,12000,11975.0, 36 months,9.88%,386.53,B,B1,Fully Paid
10800,10800,10800.0, 60 months,16.89%,267.77,D,D4,Fully Paid
25000,25000,24950.0, 60 months,14.27%,585.22,C,C2,Fully Paid
8000,8000,8000.0, 36 months,16.49%,283.2,D,D3,Fully Paid
10000,10000,9500.0, 36 months,15.58%,349.51,D,D3,Fully Paid
25000,25000,25000.0, 36 months,10.74%,815.4,B,B4,Fully Paid
25000,25000,24950.0, 60 months,12.98%,568.58,C,C3,Fully Paid
14000,14000,13975.0, 60 months,16.82%,346.59,E,E2,Fully Paid
4000,4000,4000.0, 36 months,10.65%,130.3,B,B2,Fully Paid
15000,15000,14925.0, 36 months,6.99%,463.09,A,A3,Fully Paid
20000,20000,19950.0, 60 months,13.99%,465.27,C,C3,Fully Paid
7750,7750,7750.0, 36 months,7.51%,241.11,A,A3,Fully Paid
12000,12000,11900.0, 36 months,8.94%,381.26,A,A5,Fully Paid
8000,8000,8000.0, 36 months,7.90%,250.33,A,A4,Fully Paid
15000,15000,14758.61115, 36 months,13.85%,511.56,C,C4,Fully Paid
20000,20000,19654.88596, 36 months,11.83%,662.68,B,B3,Fully Paid
12000,12000,12000.0, 60 months,10.00%,254.97,B,B2,Fully Paid
2000,2000,1925.0, 36 months,8.07%,62.74,A,A4,Fully Paid
6000,6000,6000.0, 36 months,9.63%,192.57,B,B1,Fully Paid
7500,7050,0.0, 36 months,13.17%,238.13,D,D2,Fully Paid
8500,8500,8500.0, 60 months,17.58%,213.91,D,D4,Fully Paid
3000,3000,3000.0, 36 months,10.75%,97.87,B,B2,Fully Paid
8000,8000,8000.0, 36 months,6.76%,246.14,A,A2,Fully Paid
35000,35000,34950.0, 60 months,16.40%,858.59,E,E1,Fully Paid
3000,3000,3000.0, 60 months,14.83%,71.11,D,D3,Fully Paid
17500,17500,17350.0, 60 months,16.89%,433.89,D,D4,Fully Paid
6000,6000,5956.31, 36 months,9.99%,193.58,B,B4,Fully Paid
4000,4000,4000.0, 36 months,17.19%,142.99,D,D2,Fully Paid
10000,10000,9850.0, 36 months,9.88%,322.11,B,B1,Fully Paid
11900,11900,11600.0, 60 months,10.65%,256.67,B,B2,Fully Paid
12000,12000,8419.77, 36 months,13.24%,405.72,D,D3,Fully Paid
10000,10000,9500.0, 36 months,5.99%,304.18,A,A2,Fully Paid
10000,10000,10000.0, 36 months,11.99%,332.1,B,B5,Fully Paid
4000,4000,4000.0, 60 months,13.43%,91.9,C,C3,Fully Paid
12000,12000,12000.0, 60 months,13.11%,273.72,C,C2,Fully Paid
20000,20000,19495.54008, 36 months,6.91%,616.72,A,A5,Fully Paid
25000,25000,14750.0, 36 months,10.62%,814.0,B,B3,Fully Paid
5400,5400,5400.0, 36 months,11.49%,178.05,B,B4,Fully Paid
16800,16800,16700.0, 36 months,11.48%,553.87,B,B2,Fully Paid
7500,7500,7500.0, 36 months,7.90%,234.68,A,A4,Fully Paid
16800,16800,16675.0, 36 months,12.53%,562.24,B,B5,Fully Paid
13400,13400,13375.0, 36 months,9.99%,432.32,B,B1,Fully Paid
9825,9825,9825.0, 36 months,7.90%,307.43,A,A4,Fully Paid
7500,7500,7500.0, 36 months,6.03%,228.27,A,A1,Fully Paid
12450,12450,5338.720443, 36 months,16.32%,439.66,E,E3,Fully Paid
20000,20000,17695.41557, 60 months,13.49%,460.1,C,C2,Fully Paid
10400,10400,10400.0, 60 months,10.00%,220.97,B,B2,Fully Paid
10000,10000,9895.839226, 36 months,12.21%,333.15,B,B5,Fully Paid
1200,1200,1200.0, 36 months,12.68%,40.25,C,C1,Fully Paid
6000,6000,6000.0, 36 months,10.65%,195.44,B,B2,Fully Paid
8875,8875,8875.0, 36 months,14.65%,306.14,C,C3,Fully Paid
6075,6075,6075.0, 36 months,6.03%,184.9,A,A1,Fully Paid
16000,16000,15975.0, 36 months,11.99%,531.36,B,B5,Fully Paid
7750,7750,7725.0, 36 months,12.98%,261.06,C,C3,Fully Paid
6000,6000,6000.0, 36 months,9.91%,193.35,B,B1,Fully Paid
7200,7200,6242.77, 36 months,9.07%,229.2,A,A4,Fully Paid
15200,15200,15175.0, 60 months,15.28%,363.85,D,D3,Fully Paid
7500,7500,7500.0, 60 months,10.37%,160.73,B,B3,Fully Paid
20000,12750,10750.0, 36 months,6.54%,391.01,A,A4,Fully Paid
10000,10000,9975.0, 36 months,9.88%,322.11,B,B1,Fully Paid
5000,5000,4975.0, 36 months,9.25%,159.59,B,B2,Fully Paid
4800,4800,4800.0, 36 months,7.14%,148.52,A,A3,Fully Paid
15900,15900,15850.0, 36 months,13.22%,537.43,C,C2,Fully Paid
7000,7000,7000.0, 36 months,5.79%,212.29,A,A2,Fully Paid
12000,12000,12000.0, 36 months,13.49%,407.17,C,C1,Fully Paid
12000,12000,11750.0, 60 months,12.42%,269.49,B,B4,Fully Paid
15000,15000,15000.0, 36 months,20.25%,559.37,F,F1,Fully Paid
1675,1675,1675.0, 36 months,15.21%,58.24,D,D2,Fully Paid
9600,9600,9550.0, 60 months,16.40%,235.5,E,E1,Fully Paid
12000,12000,11322.53719, 36 months,7.88%,375.37,A,A5,Fully Paid
10000,10000,10000.0, 36 months,9.91%,322.25,B,B1,Fully Paid
25000,25000,24975.0, 60 months,18.25%,638.25,D,D5,Fully Paid
25000,17625,17625.0, 36 months,11.86%,584.23,B,B5,Fully Paid
15425,15425,15150.0, 60 months,11.49%,339.16,B,B4,Fully Paid
4000,4000,3975.0, 36 months,6.76%,123.07,A,A2,Fully Paid
8000,8000,7900.0, 36 months,12.53%,267.74,B,B5,Fully Paid
25000,25000,23475.0, 60 months,13.99%,581.58,C,C3,Fully Paid
4000,4000,4000.0, 60 months,16.02%,97.32,D,D5,Fully Paid
12000,12000,12000.0, 60 months,16.49%,294.96,D,D3,Fully Paid
14000,14000,14000.0, 36 months,6.62%,429.86,A,A2,Fully Paid
18000,18000,17400.0, 36 months,14.72%,621.52,C,C5,Fully Paid
15000,15000,15000.0, 36 months,6.03%,456.54,A,A1,Fully Paid
7500,7500,5118.32, 36 months,10.51%,243.81,B,B2,Fully Paid
6500,6500,6475.0, 60 months,15.65%,156.87,D,D4,Fully Paid
12000,12000,12000.0, 60 months,19.03%,311.49,E,E2,Fully Paid
10000,10000,9825.0, 36 months,6.62%,307.04,A,A2,Fully Paid
16000,16000,15725.0, 36 months,7.88%,500.5,A,A5,Fully Paid
12000,12000,12000.0, 60 months,13.99%,279.16,C,C3,Fully Paid
4000,4000,4000.0, 36 months,7.88%,125.13,A,A5,Fully Paid
22000,15500,14971.17862, 36 months,10.38%,502.92,B,B1,Fully Paid
1500,1500,1250.0, 36 months,11.36%,49.37,B,B5,Fully Paid
12775,12775,12775.0, 36 months,9.91%,411.68,B,B1,Fully Paid
11000,11000,10975.0, 60 months,10.74%,237.75,B,B4,Fully Paid
18000,18000,17825.0, 36 months,12.18%,599.4,B,B4,Fully Paid
9800,9800,8800.0, 36 months,7.51%,304.88,A,A4,Fully Paid
5600,5600,3507.596607, 36 months,13.79%,190.83,C,C5,Fully Paid
16000,16000,15750.0, 60 months,10.99%,347.8,B,B3,Fully Paid
8400,8400,8400.0, 36 months,14.72%,290.04,C,C5,Fully Paid
7800,7800,6975.0, 36 months,9.88%,251.25,B,B1,Fully Paid
4200,4200,4200.0, 36 months,14.79%,145.17,C,C4,Fully Paid
10000,10000,9950.0, 36 months,11.71%,330.76,B,B3,Fully Paid
5500,5500,5500.0, 36 months,7.49%,171.06,A,A4,Fully Paid
21000,21000,20875.0, 36 months,11.36%,691.14,B,B5,Fully Paid
9600,9600,9550.0, 60 months,14.96%,228.19,D,D2,Fully Paid
2000,2000,1750.0, 36 months,7.29%,62.02,A,A4,Fully Paid
2725,2725,2450.0, 36 months,11.66%,90.07,C,C3,Fully Paid
5000,5000,5000.0, 36 months,11.99%,166.05,B,B5,Fully Paid
8000,8000,7925.0, 36 months,7.29%,248.08,A,A4,Fully Paid
5000,5000,5000.0, 36 months,13.49%,169.66,C,C1,Fully Paid
4000,4000,4000.0, 60 months,18.79%,103.31,E,E3,Fully Paid
12000,12000,959.25, 36 months,9.20%,382.72,B,B1,Fully Paid
6000,6000,6000.0, 36 months,12.53%,200.8,B,B5,Fully Paid
3000,3000,3000.0, 36 months,10.99%,98.21,B,B4,Fully Paid
5600,5600,5100.0, 36 months,6.76%,172.31,A,A2,Fully Paid
11000,11000,11000.0, 36 months,12.42%,367.57,B,B4,Fully Paid
8000,8000,7975.0, 36 months,7.49%,248.82,A,A4,Fully Paid
3000,3000,3000.0, 36 months,11.71%,99.23,B,B3,Fully Paid
9400,9400,9375.0, 60 months,21.67%,257.86,F,F3,Fully Paid
10000,10000,10000.0, 36 months,13.49%,339.31,C,C1,Fully Paid
16000,16000,15745.72987, 60 months,11.11%,348.76,B,B5,Fully Paid
20000,20000,19900.0, 60 months,9.62%,421.22,B,B3,Fully Paid
8000,8000,8000.0, 36 months,17.27%,286.3,D,D3,Fully Paid
15000,15000,14964.3938, 36 months,12.87%,504.5,C,C1,Fully Paid
6400,6400,6400.0, 36 months,7.74%,199.8,A,A3,Fully Paid
2000,2000,2000.0, 36 months,9.99%,64.53,B,B4,Fully Paid
7200,7200,7200.0, 36 months,13.98%,246.01,C,C3,Fully Paid
8000,8000,7013.19665, 36 months,6.91%,246.69,A,A5,Fully Paid
3500,3500,3500.0, 36 months,11.49%,115.4,B,B4,Fully Paid
35000,35000,34725.0, 60 months,15.99%,850.95,D,D2,Fully Paid
3000,3000,3000.0, 36 months,11.71%,99.23,B,B3,Fully Paid
5200,5200,5200.0, 36 months,12.42%,173.76,B,B4,Fully Paid
10575,10575,10575.0, 60 months,14.17%,247.0,C,C5,Fully Paid
20000,20000,20000.0, 36 months,10.37%,648.83,B,B3,Fully Paid
5000,5000,1975.0, 36 months,9.76%,160.78,B,B2,Fully Paid
15000,9375,9375.0, 60 months,6.54%,183.61,A,A4,Fully Paid
10000,10000,9925.0, 36 months,9.99%,322.63,B,B4,Fully Paid
20000,20000,16972.18547, 36 months,13.92%,682.74,C,C4,Fully Paid
6600,6600,6600.0, 36 months,6.92%,203.55,A,A3,Fully Paid
6000,6000,5975.0, 36 months,13.23%,202.83,C,C1,Fully Paid
14400,14400,14375.0, 36 months,9.32%,460.04,A,A4,Fully Paid
2725,2725,2325.0, 36 months,8.49%,86.01,A,A5,Fully Paid
8000,8000,8000.0, 36 months,9.32%,255.58,A,A4,Fully Paid
2000,2000,2000.0, 36 months,5.42%,60.32,A,A1,Fully Paid
1500,1500,1450.0, 36 months,11.86%,49.73,B,B5,Fully Paid
13000,13000,12632.16, 36 months,10.25%,421.01,B,B2,Fully Paid
8000,8000,8000.0, 36 months,15.62%,279.76,D,D1,Fully Paid
15000,15000,15000.0, 60 months,18.91%,388.37,F,F4,Fully Paid
12000,12000,7196.744757, 36 months,11.58%,396.17,B,B3,Fully Paid
18000,13650,13458.52709, 36 months,13.98%,466.4,C,C3,Fully Paid
2400,2400,2400.0, 36 months,5.42%,72.39,A,A1,Fully Paid
7200,7200,6275.0, 36 months,9.38%,230.24,A,A5,Fully Paid
10000,10000,9830.566893, 36 months,15.31%,348.16,D,D3,Fully Paid
10000,10000,9410.96296, 36 months,13.79%,340.76,C,C5,Fully Paid
6000,6000,5944.557118, 36 months,11.48%,197.82,B,B2,Fully Paid
7400,7400,7400.0, 36 months,14.84%,255.95,D,D1,Fully Paid
6000,6000,5950.0, 60 months,13.23%,137.23,C,C1,Fully Paid
4000,4000,4000.0, 36 months,9.99%,129.05,B,B4,Fully Paid
10400,10400,10350.0, 36 months,9.99%,335.53,B,B4,Fully Paid
16425,16425,15266.84611, 60 months,13.99%,382.1,C,C3,Fully Paid
16000,16000,15925.0, 36 months,10.74%,521.86,B,B4,Fully Paid
1200,1200,1200.0, 36 months,15.95%,42.16,D,D4,Fully Paid
6000,6000,6000.0, 36 months,13.57%,203.82,C,C3,Fully Paid
10000,10000,10000.0, 36 months,10.59%,325.45,B,B2,Fully Paid
12000,12000,11500.0, 36 months,10.38%,389.36,B,B1,Fully Paid
12500,12500,12375.0, 36 months,10.25%,404.81,B,B2,Fully Paid
10000,10000,9950.0, 60 months,15.58%,240.96,D,D3,Fully Paid
12000,12000,11750.0, 60 months,9.91%,254.44,B,B1,Fully Paid
10000,10000,10000.0, 60 months,14.17%,233.57,C,C5,Fully Paid
8000,8000,8000.0, 36 months,11.11%,262.33,B,B5,Fully Paid
12000,12000,11925.0, 36 months,12.18%,399.6,B,B4,Fully Paid
11000,11000,10420.38785, 36 months,15.31%,382.97,D,D3,Fully Paid
24000,24000,23289.32724, 36 months,11.49%,791.32,B,B4,Fully Paid
4125,4125,4125.0, 36 months,9.99%,133.09,B,B1,Fully Paid
5675,5675,5675.0, 36 months,6.54%,174.04,A,A4,Fully Paid
30000,22325,20938.85177, 60 months,13.99%,519.35,C,C3,Fully Paid
3500,3500,3500.0, 36 months,11.49%,115.4,B,B4,Fully Paid
8000,8000,7625.0, 60 months,16.69%,197.49,E,E3,Fully Paid
3200,3200,3200.0, 36 months,14.35%,109.92,C,C4,Fully Paid
1900,1900,1900.0, 36 months,5.79%,57.63,A,A2,Fully Paid
3500,3500,3500.0, 60 months,7.66%,70.4,A,A5,Fully Paid
25000,25000,24875.0, 60 months,14.79%,592.0,C,C4,Fully Paid
12000,12000,12000.0, 60 months,14.65%,283.28,C,C3,Fully Paid
15600,10975,10975.0, 36 months,5.99%,333.84,A,A2,Fully Paid
17475,17475,16925.0, 36 months,7.51%,543.67,A,A4,Fully Paid
10000,10000,3925.0, 36 months,16.95%,356.27,E,E5,Fully Paid
1800,1800,475.0, 36 months,12.41%,60.14,C,C3,Fully Paid
7000,7000,6500.0, 36 months,10.99%,229.14,B,B4,Fully Paid
15600,15600,15600.0, 60 months,16.45%,383.11,E,E1,Fully Paid
10000,10000,9925.0, 60 months,12.98%,227.43,C,C3,Fully Paid
12000,12000,11493.08717, 36 months,8.90%,381.04,A,A5,Fully Paid
13000,13000,13000.0, 36 months,8.88%,412.68,B,B1,Fully Paid
24250,24250,24250.0, 36 months,19.03%,889.28,E,E2,Fully Paid
12000,12000,12000.0, 36 months,7.90%,375.49,A,A4,Fully Paid
25000,25000,24619.32265, 36 months,11.36%,822.78,B,B5,Fully Paid
9000,9000,8500.0, 36 months,6.91%,277.53,A,A5,Fully Paid
10000,10000,10000.0, 36 months,9.99%,322.63,B,B1,Fully Paid
10000,10000,10000.0, 36 months,12.61%,335.07,C,C2,Fully Paid
5000,5000,4955.666451, 36 months,12.21%,166.58,B,B5,Fully Paid
8975,8975,8975.0, 36 months,10.99%,293.79,B,B3,Fully Paid
11200,11200,11200.0, 60 months,16.89%,277.69,D,D4,Fully Paid
1600,1600,1600.0, 36 months,13.61%,54.39,C,C2,Fully Paid
6000,6000,6000.0, 36 months,11.83%,198.81,B,B3,Fully Paid
18000,18000,16172.58574, 36 months,9.88%,579.79,B,B1,Fully Paid
1200,1200,1200.0, 36 months,13.48%,40.71,C,C3,Fully Paid
7500,7500,7450.0, 36 months,11.86%,248.61,B,B5,Fully Paid
6000,6000,6000.0, 36 months,10.99%,196.41,B,B3,Fully Paid
15000,15000,15000.0, 60 months,10.65%,323.53,B,B2,Fully Paid
3500,3500,3500.0, 36 months,12.18%,116.55,B,B4,Fully Paid
11650,11650,11650.0, 36 months,6.62%,357.7,A,A2,Fully Paid
6000,6000,5786.205703, 36 months,8.59%,189.67,A,A4,Fully Paid
7500,7500,214.02, 36 months,8.00%,235.03,A,A3,Fully Paid
7000,7000,6606.530076, 60 months,13.98%,162.81,C,C3,Fully Paid
7200,7200,7175.0, 36 months,7.66%,224.5,A,A5,Fully Paid
1000,1000,1000.0, 36 months,15.23%,34.78,C,C5,Fully Paid
14000,14000,13750.0, 36 months,9.99%,451.68,B,B1,Fully Paid
1600,1600,1600.0, 36 months,14.42%,55.02,D,D2,Fully Paid
10000,10000,9900.0, 36 months,7.88%,312.81,A,A5,Fully Paid
25000,22050,21924.42, 36 months,12.23%,734.81,C,C1,Fully Paid
18000,18000,18000.0, 60 months,18.79%,464.86,E,E3,Fully Paid
3500,3500,3500.0, 60 months,13.49%,80.52,C,C2,Fully Paid
3500,3500,3500.0, 36 months,13.72%,119.15,C,C5,Fully Paid
17500,17500,17500.0, 60 months,13.49%,402.59,C,C1,Fully Paid
16000,11450,11400.0, 60 months,12.23%,256.04,C,C1,Fully Paid
10000,10000,10000.0, 36 months,7.49%,311.02,A,A4,Fully Paid
8400,8400,8400.0, 60 months,9.99%,178.44,B,B4,Fully Paid
12000,12000,11450.0, 36 months,5.42%,361.92,A,A1,Fully Paid
35000,35000,34750.0, 36 months,12.69%,1174.07,B,B5,Fully Paid
11000,11000,10950.0, 36 months,9.32%,351.42,A,A4,Fully Paid
3250,3250,3250.0, 36 months,7.88%,101.67,A,A5,Fully Paid
14000,14000,14000.0, 36 months,11.36%,460.76,B,B5,Fully Paid
10800,10800,10800.0, 36 months,10.74%,352.25,B,B4,Fully Paid
4500,4500,4220.64, 36 months,11.89%,149.24,B,B4,Fully Paid
24000,15025,14015.55278, 36 months,6.17%,458.25,A,A3,Fully Paid
6000,6000,5500.0, 36 months,9.99%,193.58,B,B4,Fully Paid
6000,6000,5811.916438, 36 months,13.57%,203.82,C,C3,Fully Paid
13000,13000,11975.0, 36 months,7.88%,406.65,A,A5,Fully Paid
5000,5000,5000.0, 36 months,10.36%,162.19,B,B5,Fully Paid
4000,4000,4000.0, 36 months,10.00%,129.07,B,B2,Fully Paid
1200,1200,1200.0, 36 months,6.99%,37.05,A,A3,Fully Paid
10000,10000,10000.0, 60 months,15.65%,241.33,D,D4,Fully Paid
7500,7500,7500.0, 36 months,5.79%,227.46,A,A2,Fully Paid
6000,6000,6000.0, 36 months,16.49%,212.4,D,D3,Fully Paid
22250,22250,22052.22756, 36 months,14.59%,766.85,D,D1,Fully Paid
5000,5000,5000.0, 60 months,11.71%,110.5,B,B3,Fully Paid
14000,14000,9963.665042, 36 months,17.26%,500.98,F,F1,Fully Paid
20000,20000,19900.0, 36 months,13.85%,682.1,C,C4,Fully Paid
18000,18000,17975.0, 60 months,13.99%,418.74,C,C3,Fully Paid
5600,5600,5600.0, 36 months,14.61%,193.07,D,D1,Fully Paid
2400,2400,2400.0, 36 months,7.88%,75.08,A,A5,Fully Paid
5000,5000,2191.49, 36 months,10.20%,161.81,B,B1,Fully Paid
8000,8000,8000.0, 36 months,13.06%,269.79,C,C2,Fully Paid
18000,18000,17364.7024, 36 months,7.88%,563.06,A,A5,Fully Paid
20000,20000,20000.0, 36 months,11.71%,661.52,B,B3,Fully Paid
5000,5000,5000.0, 36 months,10.65%,162.87,B,B2,Fully Paid
24250,24250,23811.2418, 36 months,12.53%,811.56,B,B5,Fully Paid
18500,18500,18475.0, 36 months,17.80%,666.97,F,F1,Fully Paid
24250,24250,23955.01931, 36 months,11.83%,803.5,B,B3,Fully Paid
1000,1000,1000.0, 36 months,13.85%,34.11,C,C4,Fully Paid
